<0.0000e+00 0.0000e+00>
<1153590.7843771556 3137248.8451051926>
<1151919.041718113 3143338.6916849893>
<1150246.1469987687 3149414.538747513>
<1148572.2005894799 3155476.4620966194>
<1146897.3010037795 3161524.5380451465>
<1145221.5448991961 3167558.843375201>
<1143545.0270789666 3173579.455298481>
<1141867.8404946448 3179586.4514166634>
<1140190.0762496057 3185579.9096818725>
<1138511.8236034482 3191559.9083572607>
<1136833.1699772938 3197526.525977716>
<1135154.2009599847 3203479.841310722>
<1133475.0003151759 3209419.9333173963>
<1131795.6499893225 3215346.881113726>
<1130116.2301205597 3221260.763932025>
<1128436.8190484692 3227161.6610826366>
<1126757.4933247329 3233049.651915906>
<1125078.3277246647 3238924.8157844446>
<1123399.395259619 3244787.232005707>
<1121720.7671902669 3250636.97982491>
<1120042.513040735 3256474.1383783096>
<1118364.7006135995 3262298.786656866>
<1116687.3960057271 3268111.0034703137>
<1115010.663624952 3273910.867411664>
<1113334.5662075835 3279698.4568221597>
<1111659.16483673 3285473.8497567056>
<1109984.5189614303 3291237.123949797>
<1108310.6864165794 3296988.3567819693>
<1106637.7234436383 3302727.625246788>
<1104965.6847121124 3308455.0059184027>
<1103294.623341785 3314170.5749196853>
<1101624.5909256933 3319874.4078909745>
<1099955.6375538288 3325566.579959444>
<1098287.8118375486 3331247.165709117>
<1096621.1609346806 3336916.239151549>
<1094955.7305753028 3342573.8736971896>
<1093291.565088184 3348220.142127452>
<1091628.7074278619 3353855.116567502>
<1089967.1992023431 3359478.8684597844>
<1088307.0807014059 3365091.4685383104>
<1086648.390925481 3370692.986803711>
<1084991.1676150959 3376283.4924990833>
<1083335.4472808563 3381863.0540866405>
<1081681.2652339465 3387431.739225177>
<1080028.6556171235 3392989.6147483718>
<1078377.6514361845 3398536.7466439307>
<1076728.2845918837 3404073.2000335944>
<1075080.5859122747 3409599.0391540118>
<1073434.5851854552 3415114.327338497>
<1071790.3111926883 3420619.1269996813>
<1070147.791741878 3426113.4996130615>
<1068507.053701372 3431597.505701465>
<1066868.1230340668 3437071.2048204327>
<1065231.024831792 3442534.655544527>
<1063595.7833499443 3447987.9154545753>
<1061962.422042347 3453431.0411258526>
<1060330.9635963112 3458864.088117209>
<1058701.4299678686 3464287.1109611434>
<1057073.8424171524 3469700.163154835>
<1055448.2215438976 3475103.297152122>
<1053824.5873230374 3480496.564356445>
<1052202.9591403662 3485880.015114741>
<1050583.355828243 3491253.698712299>
<1048965.7957013126 3496617.6633685734>
<1047350.2965922119 3501971.9562339494>
<1045736.8758872407 3507316.623387464>
<1044125.5505619678 3512651.709835477>
<1042516.337216747 3517977.2595112897>
<1040909.2521121182 3523293.3152756994>
<1039304.3112040664 3528599.918918497>
<1037701.5301791147 3533897.11116089>
<1036100.9244892247 3539184.9316588505>
<1034502.5093864815 3544463.419007374>
<1032906.299957537 3549732.6107456503>
<1031312.3111577882 3554992.5433631265>
<1029720.5578452662 3560243.2523064604>
<1028131.054814214 3565484.771987348>
<1026543.8168283281 3570717.135791217>
<1024958.8586536421 3575940.376086774>
<1023376.1950910318 3581154.5242363904>
<1021795.8410083174 3586359.6106073167>
<1020217.8113719441 3591555.6645837105>
<1018642.1212782195 3596742.7145794607>
<1017068.785984087 3601920.788051799>
<1015497.8209374181 3607089.911515676>
<1013929.2418068021 3612250.1105588926>
<1012363.0645108159 3617401.409857964>
<1010799.305246757 3622543.8331947057>
<1009237.9805188208 3627677.4034735165>
<1007679.1071657075 3632802.142739347>
<1006122.7023876414 3637918.0721963346>
<1004568.7837727879 3643025.212227079>
<1003017.3693230536 3648123.582412552>
<1001468.4774792556 3653213.20155261>
